,name_set,from_region,to_region,length,name,capacity
186,elesplan-m_31,xhur,xskb,322.496,xhur-xskb,1900000.0
192,elesplan-m_31,deu,xalp,440.455,deu-xalp,5500000.0
194,elesplan-m_31,deu,xczs,504.205,deu-xczs,2300000.0
195,elesplan-m_31,dnk,nor,394.205,dnk-nor,950000.0
196,elesplan-m_31,dnk,swe,606.274,dnk-swe,2440000.0
197,elesplan-m_31,fin,xbal,860.161,fin-xbal,350000.0
198,elesplan-m_31,nor,swe,415.072,nor-swe,3895000.0
199,elesplan-m_31,deu,pol,633.631,deu-pol,1200000.0
200,elesplan-m_31,deu,swe,1037.62,deu-swe,610000.0
201,elesplan-m_31,xalp,xfwy,470.062,xalp-xfwy,900000.0
202,elesplan-m_31,xalp,xhur,861.706,xalp-xhur,800000.0
203,elesplan-m_31,xbnl,deu,363.914,xbnl-deu,4830000.0
204,elesplan-m_31,xczs,xhur,595.916,xczs-xhur,1300000.0
205,elesplan-m_31,xfra,deu,765.858,xfra-deu,3200000.0
206,elesplan-m_31,xfra,xalp,738.839,xfra-xalp,3200000.0
207,elesplan-m_31,xfra,xbnl,581.757,xfra-xbnl,3400000.0
208,elesplan-m_31,xfra,xita,862.747,xfra-xita,2575000.0
209,elesplan-m_31,xhur,xfwy,533.275,xhur-xfwy,1200000.0
210,elesplan-m_31,xibe,xfra,908.179,xibe-xfra,1300000.0
211,elesplan-m_31,xita,xfwy,442.91,xita-xfwy,580000.0
212,elesplan-m_31,xita,xgma,924.812,xita-xgma,500000.0
213,elesplan-m_31,xfwy,xgma,709.196,xfwy-xgma,200000.0
214,elesplan-m_31,xfwy,xskb,528.267,xfwy-xskb,1350000.0
215,elesplan-m_31,xgbr,xfra,758.39,xgbr-xfra,2000000.0
216,elesplan-m_31,xgma,xskb,407.244,xgma-xskb,1660000.0
243,elesplan-m_31,swe,fin,715.168,swe-fin,2050000.0
244,elesplan-m_31,swe,pol,809.638,swe-pol,600000.0
245,elesplan-m_31,xalp,xczs,414.749,xalp-xczs,1000000.0
246,elesplan-m_31,xalp,xita,504.851,xalp-xita,4385000.0
247,elesplan-m_31,deu,dnk,597.482,deu-dnk,2085000.0
257,elesplan-m_31,pol,xczs,355.431,pol-xczs,2400000.0
